Rank,Title,Year,Rating_IMDb,URL
23,Saving Private Ryan,1998,"8.6
 (1.6M)",https://www.imdb.com/title/tt0120815/?ref_=chttp_t_23
24,Seven Samurai,1954,"8.6
 (402K)",https://www.imdb.com/title/tt0047478/?ref_=chttp_t_24
25,The Green Mile,1999,"8.6
 (1.6M)",https://www.imdb.com/title/tt0120689/?ref_=chttp_t_25
26,City of God,2002,"8.6
 (873K)",https://www.imdb.com/title/tt0317248/?ref_=chttp_t_26
27,Life Is Beautiful,1997,"8.6
 (814K)",https://www.imdb.com/title/tt0118799/?ref_=chttp_t_27
28,Terminator 2: Judgment Day,1991,"8.6
 (1.3M)",https://www.imdb.com/title/tt0103064/?ref_=chttp_t_28
29,Back to the Future,1985,"8.5
 (1.5M)",https://www.imdb.com/title/tt0088763/?ref_=chttp_t_29
30,Star Wars: Episode IV - A New Hope,1977,"8.6
 (1.6M)",https://www.imdb.com/title/tt0076759/?ref_=chttp_t_30
31,Kill Bill: The Whole Bloody Affair,2004,"8.7
 (44K)",https://www.imdb.com/title/tt6019206/?ref_=chttp_t_31
32,Spirited Away,2001,"8.6
 (971K)",https://www.imdb.com/title/tt0245429/?ref_=chttp_t_32
33,Gladiator,2000,"8.5
 (1.9M)",https://www.imdb.com/title/tt0172495/?ref_=chttp_t_33
34,The Pianist,2002,"8.5
 (1M)",https://www.imdb.com/title/tt0253474/?ref_=chttp_t_34
35,Parasite,2019,"8.5
 (1.2M)",https://www.imdb.com/title/tt6751668/?ref_=chttp_t_35
36,Grave of the Fireflies,1988,"8.5
 (388K)",https://www.imdb.com/title/tt0095327/?ref_=chttp_t_36
37,Psycho,1960,"8.5
 (787K)",https://www.imdb.com/title/tt0054215/?ref_=chttp_t_37
38,The Lion King,1994,"8.5
 (1.3M)",https://www.imdb.com/title/tt0110357/?ref_=chttp_t_38
39,Harakiri,1962,"8.6
 (92K)",https://www.imdb.com/title/tt0056058/?ref_=chttp_t_39
40,The Departed,2006,"8.5
 (1.6M)",https://www.imdb.com/title/tt0407887/?ref_=chttp_t_40
41,Whiplash,2014,"8.5
 (1.2M)",https://www.imdb.com/title/tt2582802/?ref_=chttp_t_41
42,The Prestige,2006,"8.5
 (1.6M)",https://www.imdb.com/title/tt0482571/?ref_=chttp_t_42
43,American History X,1998,"8.5
 (1.3M)",https://www.imdb.com/title/tt0120586/?ref_=chttp_t_43
44,Léon: The Professional,1994,"8.5
 (1.4M)",https://www.imdb.com/title/tt0110413/?ref_=chttp_t_44
45,Spider-Man: Across the Spider-Verse,2023,"8.5
 (529K)",https://www.imdb.com/title/tt9362722/?ref_=chttp_t_45
46,Cinema Paradiso,1988,"8.5
 (317K)",https://www.imdb.com/title/tt0095765/?ref_=chttp_t_46
47,Casablanca,1942,"8.5
 (656K)",https://www.imdb.com/title/tt0034583/?ref_=chttp_t_47
48,The Intouchables,2011,"8.5
 (1M)",https://www.imdb.com/title/tt1675434/?ref_=chttp_t_48
49,The Usual Suspects,1995,"8.5
 (1.2M)",https://www.imdb.com/title/tt0114814/?ref_=chttp_t_49
50,Django Unchained,2012,"8.5
 (1.9M)",https://www.imdb.com/title/tt1853728/?ref_=chttp_t_50
51,Alien,1979,"8.4
 (1.1M)",https://www.imdb.com/title/tt0078748/?ref_=chttp_t_51
52,Rear Window,1954,"8.4
 (569K)",https://www.imdb.com/title/tt0047396/?ref_=chttp_t_52
53,Modern Times,1936,"8.5
 (286K)",https://www.imdb.com/title/tt0027977/?ref_=chttp_t_53
54,Once Upon a Time in the West,1968,"8.5
 (385K)",https://www.imdb.com/title/tt0064116/?ref_=chttp_t_54
55,City Lights,1931,"8.5
 (217K)",https://www.imdb.com/title/tt0021749/?ref_=chttp_t_55
56,Apocalypse Now,1979,"8.4
 (772K)",https://www.imdb.com/title/tt0078788/?ref_=chttp_t_56
57,WALL·E,2008,"8.4
 (1.3M)",https://www.imdb.com/title/tt0910970/?ref_=chttp_t_57
58,Memento,2000,"8.4
 (1.4M)",https://www.imdb.com/title/tt0209144/?ref_=chttp_t_58
59,Dune: Part Two,2024,"8.4
 (761K)",https://www.imdb.com/title/tt15239678/?ref_=chttp_t_59
60,Avengers: Infinity War,2018,"8.4
 (1.4M)",https://www.imdb.com/title/tt4154756/?ref_=chttp_t_60
61,Raiders of the Lost Ark,1981,"8.4
 (1.1M)",https://www.imdb.com/title/tt0082971/?ref_=chttp_t_61
62,The Lives of Others,2006,"8.4
 (444K)",https://www.imdb.com/title/tt0405094/?ref_=chttp_t_62
63,Spider-Man: Into the Spider-Verse,2018,"8.4
 (794K)",https://www.imdb.com/title/tt4633694/?ref_=chttp_t_63
64,Sunset Boulevard,1950,"8.4
 (262K)",https://www.imdb.com/title/tt0043014/?ref_=chttp_t_64
65,Witness for the Prosecution,1957,"8.4
 (163K)",https://www.imdb.com/title/tt0051201/?ref_=chttp_t_65
66,Paths of Glory,1957,"8.4
 (239K)",https://www.imdb.com/title/tt0050825/?ref_=chttp_t_66
67,The Shining,1980,"8.4
 (1.2M)",https://www.imdb.com/title/tt0081505/?ref_=chttp_t_67
68,The Great Dictator,1940,"8.4
 (259K)",https://www.imdb.com/title/tt0032553/?ref_=chttp_t_68
69,Inglourious Basterds,2009,"8.4
 (1.8M)",https://www.imdb.com/title/tt0361748/?ref_=chttp_t_69
70,Aliens,1986,"8.4
 (841K)",https://www.imdb.com/title/tt0090605/?ref_=chttp_t_70
71,12th Fail,2023,"8.7
 (173K)",https://www.imdb.com/title/tt23849204/?ref_=chttp_t_71
72,High and Low,1963,"8.4
 (72K)",https://www.imdb.com/title/tt0057565/?ref_=chttp_t_72
73,Avengers: Endgame,2019,"8.4
 (1.5M)",https://www.imdb.com/title/tt4154796/?ref_=chttp_t_73
74,Good Will Hunting,1997,"8.4
 (1.2M)",https://www.imdb.com/title/tt0119217/?ref_=chttp_t_74
75,The Dark Knight Rises,2012,"8.4
 (2M)",https://www.imdb.com/title/tt1345836/?ref_=chttp_t_75
76,Coco,2017,"8.4
 (711K)",https://www.imdb.com/title/tt2380307/?ref_=chttp_t_76
77,Amadeus,1984,"8.4
 (469K)",https://www.imdb.com/title/tt0086879/?ref_=chttp_t_77
78,Toy Story,1995,"8.3
 (1.2M)",https://www.imdb.com/title/tt0114709/?ref_=chttp_t_78
79,Your Name.,2016,"8.4
 (395K)",https://www.imdb.com/title/tt5311514/?ref_=chttp_t_79
80,Das Boot,1981,"8.3
 (288K)",https://www.imdb.com/title/tt0082096/?ref_=chttp_t_80
81,Braveheart,1995,"8.3
 (1.2M)",https://www.imdb.com/title/tt0112573/?ref_=chttp_t_81
82,Princess Mononoke,1997,"8.3
 (484K)",https://www.imdb.com/title/tt0119698/?ref_=chttp_t_82
83,Oldboy,2003,"8.3
 (721K)",https://www.imdb.com/title/tt0364569/?ref_=chttp_t_83
84,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"8.3
 (551K)",https://www.imdb.com/title/tt0057012/?ref_=chttp_t_84
85,3 Idiots,2009,"8.4
 (484K)",https://www.imdb.com/title/tt1187043/?ref_=chttp_t_85
86,American Beauty,1999,"8.3
 (1.3M)",https://www.imdb.com/title/tt0169547/?ref_=chttp_t_86
87,Capernaum,2018,"8.4
 (125K)",https://www.imdb.com/title/tt8267604/?ref_=chttp_t_87
88,Singin' in the Rain,1952,"8.3
 (283K)",https://www.imdb.com/title/tt0045152/?ref_=chttp_t_88
89,Joker,2019,"8.3
 (1.7M)",https://www.imdb.com/title/tt7286456/?ref_=chttp_t_89
90,Once Upon a Time in America,1984,"8.3
 (409K)",https://www.imdb.com/title/tt0087843/?ref_=chttp_t_90
91,Star Wars: Episode VI - Return of the Jedi,1983,"8.3
 (1.2M)",https://www.imdb.com/title/tt0086190/?ref_=chttp_t_91
92,Come and See,1985,"8.3
 (124K)",https://www.imdb.com/title/tt0091251/?ref_=chttp_t_92
93,Toy Story 3,2010,"8.3
 (973K)",https://www.imdb.com/title/tt0435761/?ref_=chttp_t_93
94,Requiem for a Dream,2000,"8.3
 (976K)",https://www.imdb.com/title/tt0180093/?ref_=chttp_t_94
95,Ikiru,1952,"8.3
 (103K)",https://www.imdb.com/title/tt0044741/?ref_=chttp_t_95
96,The Hunt,2012,"8.3
 (411K)",https://www.imdb.com/title/tt2106476/?ref_=chttp_t_96
97,Incendies,2010,"8.3
 (253K)",https://www.imdb.com/title/tt1255953/?ref_=chttp_t_97
98,Eternal Sunshine of the Spotless Mind,2004,"8.3
 (1.2M)",https://www.imdb.com/title/tt0338013/?ref_=chttp_t_98
99,The Apartment,1960,"8.3
 (220K)",https://www.imdb.com/title/tt0053604/?ref_=chttp_t_99
100,Lawrence of Arabia,1962,"8.3
 (342K)",https://www.imdb.com/title/tt0056172/?ref_=chttp_t_100
101,Heat,1995,"8.3
 (807K)",https://www.imdb.com/title/tt0113277/?ref_=chttp_t_101
102,Scarface,1983,"8.3
 (1M)",https://www.imdb.com/title/tt0086250/?ref_=chttp_t_102
103,Reservoir Dogs,1992,"8.3
 (1.2M)",https://www.imdb.com/title/tt0105236/?ref_=chttp_t_103
104,2001: A Space Odyssey,1968,"8.3
 (785K)",https://www.imdb.com/title/tt0062622/?ref_=chttp_t_104
105,Up,2009,"8.3
 (1.2M)",https://www.imdb.com/title/tt1049413/?ref_=chttp_t_105
106,Double Indemnity,1944,"8.3
 (182K)",https://www.imdb.com/title/tt0036775/?ref_=chttp_t_106
107,North by Northwest,1959,"8.3
 (369K)",https://www.imdb.com/title/tt0053125/?ref_=chttp_t_107
108,Like Stars on Earth,2007,"8.3
 (233K)",https://www.imdb.com/title/tt0986264/?ref_=chttp_t_108
109,Full Metal Jacket,1987,"8.2
 (852K)",https://www.imdb.com/title/tt0093058/?ref_=chttp_t_109
110,M,1931,"8.3
 (183K)",https://www.imdb.com/title/tt0022100/?ref_=chttp_t_110
111,Amélie,2001,"8.3
 (841K)",https://www.imdb.com/title/tt0211915/?ref_=chttp_t_111
112,A Separation,2011,"8.3
 (278K)",https://www.imdb.com/title/tt1832382/?ref_=chttp_t_112
113,Vertigo,1958,"8.2
 (459K)",https://www.imdb.com/title/tt0052357/?ref_=chttp_t_113
114,Citizen Kane,1941,"8.2
 (493K)",https://www.imdb.com/title/tt0033467/?ref_=chttp_t_114
115,Die Hard,1988,"8.2
 (1M)",https://www.imdb.com/title/tt0095016/?ref_=chttp_t_115
116,To Kill a Mockingbird,1962,"8.2
 (351K)",https://www.imdb.com/title/tt0056592/?ref_=chttp_t_116
117,Indiana Jones and the Last Crusade,1989,"8.2
 (864K)",https://www.imdb.com/title/tt0097576/?ref_=chttp_t_117
118,The Sting,1973,"8.2
 (302K)",https://www.imdb.com/title/tt0070735/?ref_=chttp_t_118
119,I Swear,2025,"8.4
 (49K)",https://www.imdb.com/title/tt31514146/?ref_=chttp_t_119
120,A Clockwork Orange,1971,"8.2
 (937K)",https://www.imdb.com/title/tt0066921/?ref_=chttp_t_120
121,Metropolis,1927,"8.2
 (202K)",https://www.imdb.com/title/tt0017136/?ref_=chttp_t_121
122,1917,2019,"8.2
 (774K)",https://www.imdb.com/title/tt8579674/?ref_=chttp_t_122
123,Snatch,2000,"8.2
 (978K)",https://www.imdb.com/title/tt0208092/?ref_=chttp_t_123
124,The Wolf of Wall Street,2013,"8.2
 (1.8M)",https://www.imdb.com/title/tt0993846/?ref_=chttp_t_124
125,Downfall,2004,"8.2
 (401K)",https://www.imdb.com/title/tt0363163/?ref_=chttp_t_125
126,The Truman Show,1998,"8.2
 (1.4M)",https://www.imdb.com/title/tt0120382/?ref_=chttp_t_126
127,L.A. Confidential,1997,"8.2
 (659K)",https://www.imdb.com/title/tt0119488/?ref_=chttp_t_127
128,Dangal,2016,"8.3
 (244K)",https://www.imdb.com/title/tt5074352/?ref_=chttp_t_128
129,Shutter Island,2010,"8.2
 (1.7M)",https://www.imdb.com/title/tt1130884/?ref_=chttp_t_129
130,Bicycle Thieves,1948,"8.2
 (192K)",https://www.imdb.com/title/tt0040522/?ref_=chttp_t_130
131,Green Book,2018,"8.2
 (690K)",https://www.imdb.com/title/tt6966692/?ref_=chttp_t_131
132,Oppenheimer,2023,"8.2
 (1M)",https://www.imdb.com/title/tt15398776/?ref_=chttp_t_132
133,Judgment at Nuremberg,1961,"8.3
 (97K)",https://www.imdb.com/title/tt0055031/?ref_=chttp_t_133
134,Project Hail Mary,2026,"8.3
 (354K)",https://www.imdb.com/title/tt12042730/?ref_=chttp_t_134
135,Batman Begins,2005,"8.2
 (1.7M)",https://www.imdb.com/title/tt0372784/?ref_=chttp_t_135
136,Attack on Titan: The Last Attack,2024,"9.0
 (31K)",https://www.imdb.com/title/tt33175825/?ref_=chttp_t_136
137,Jurassic Park,1993,"8.2
 (1.2M)",https://www.imdb.com/title/tt0107290/?ref_=chttp_t_137
138,For a Few Dollars More,1965,"8.2
 (301K)",https://www.imdb.com/title/tt0059578/?ref_=chttp_t_138
139,Hamilton,2020,"8.3
 (140K)",https://www.imdb.com/title/tt8503618/?ref_=chttp_t_139
140,Taxi Driver,1976,"8.2
 (1M)",https://www.imdb.com/title/tt0075314/?ref_=chttp_t_140
141,Some Like It Hot,1959,"8.2
 (305K)",https://www.imdb.com/title/tt0053291/?ref_=chttp_t_141
142,There Will Be Blood,2007,"8.2
 (711K)",https://www.imdb.com/title/tt0469494/?ref_=chttp_t_142
143,The Father,2020,"8.2
 (246K)",https://www.imdb.com/title/tt10272386/?ref_=chttp_t_143
144,The Kid,1921,"8.2
 (146K)",https://www.imdb.com/title/tt0012349/?ref_=chttp_t_144
145,All About Eve,1950,"8.2
 (149K)",https://www.imdb.com/title/tt0042192/?ref_=chttp_t_145
146,The Sixth Sense,1999,"8.2
 (1.1M)",https://www.imdb.com/title/tt0167404/?ref_=chttp_t_146
147,Ran,1985,"8.2
 (152K)",https://www.imdb.com/title/tt0089881/?ref_=chttp_t_147
148,Casino,1995,"8.2
 (621K)",https://www.imdb.com/title/tt0112641/?ref_=chttp_t_148
149,The Thing,1982,"8.2
 (527K)",https://www.imdb.com/title/tt0084787/?ref_=chttp_t_149
150,No Country for Old Men,2007,"8.2
 (1.2M)",https://www.imdb.com/title/tt0477348/?ref_=chttp_t_150
151,Prisoners,2013,"8.2
 (940K)",https://www.imdb.com/title/tt1392214/?ref_=chttp_t_151
152,Top Gun: Maverick,2022,"8.2
 (880K)",https://www.imdb.com/title/tt1745960/?ref_=chttp_t_152
153,Kill Bill: Vol. 1,2003,"8.2
 (1.3M)",https://www.imdb.com/title/tt0266697/?ref_=chttp_t_153
154,Unforgiven,1992,"8.2
 (469K)",https://www.imdb.com/title/tt0105695/?ref_=chttp_t_154
155,Pan's Labyrinth,2006,"8.2
 (748K)",https://www.imdb.com/title/tt0457430/?ref_=chttp_t_155
156,A Beautiful Mind,2001,"8.2
 (1.1M)",https://www.imdb.com/title/tt0268978/?ref_=chttp_t_156
157,Howl's Moving Castle,2004,"8.2
 (514K)",https://www.imdb.com/title/tt0347149/?ref_=chttp_t_157
158,The Treasure of the Sierra Madre,1948,"8.2
 (142K)",https://www.imdb.com/title/tt0040897/?ref_=chttp_t_158
159,Finding Nemo,2003,"8.2
 (1.2M)",https://www.imdb.com/title/tt0266543/?ref_=chttp_t_159
160,Klaus,2019,"8.2
 (238K)",https://www.imdb.com/title/tt4729430/?ref_=chttp_t_160
161,Yojimbo,1961,"8.2
 (143K)",https://www.imdb.com/title/tt0055630/?ref_=chttp_t_161
162,The Elephant Man,1980,"8.2
 (282K)",https://www.imdb.com/title/tt0080678/?ref_=chttp_t_162
163,The Great Escape,1963,"8.2
 (278K)",https://www.imdb.com/title/tt0057115/?ref_=chttp_t_163
164,Demon Slayer: Kimetsu No Yaiba Infinity Castle,2025,"8.4
 (73K)",https://www.imdb.com/title/tt32820897/?ref_=chttp_t_164
165,Monty Python and the Holy Grail,1975,"8.1
 (604K)",https://www.imdb.com/title/tt0071853/?ref_=chttp_t_165
166,Dial M for Murder,1954,"8.1
 (205K)",https://www.imdb.com/title/tt0046912/?ref_=chttp_t_166
167,The Secret in Their Eyes,2009,"8.2
 (243K)",https://www.imdb.com/title/tt1305806/?ref_=chttp_t_167
168,Gone with the Wind,1939,"8.2
 (356K)",https://www.imdb.com/title/tt0031381/?ref_=chttp_t_168
169,"Lock, Stock and Two Smoking Barrels",1998,"8.1
 (650K)",https://www.imdb.com/title/tt0120735/?ref_=chttp_t_169
170,Chinatown,1974,"8.1
 (377K)",https://www.imdb.com/title/tt0071315/?ref_=chttp_t_170
171,The Best of Youth,2003,"8.4
 (28K)",https://www.imdb.com/title/tt0346336/?ref_=chttp_t_171
172,V for Vendetta,2005,"8.1
 (1.2M)",https://www.imdb.com/title/tt0434409/?ref_=chttp_t_172
173,Catch Me If You Can,2002,"8.1
 (1.2M)",https://www.imdb.com/title/tt0264464/?ref_=chttp_t_173
174,Inside Out,2015,"8.1
 (919K)",https://www.imdb.com/title/tt2096673/?ref_=chttp_t_174
175,Trainspotting,1996,"8.1
 (769K)",https://www.imdb.com/title/tt0117951/?ref_=chttp_t_175
176,"Three Billboards Outside Ebbing, Missouri",2017,"8.1
 (609K)",https://www.imdb.com/title/tt5027774/?ref_=chttp_t_176
177,Rashomon,1950,"8.1
 (197K)",https://www.imdb.com/title/tt0042876/?ref_=chttp_t_177
178,Dead Poets Society,1989,"8.1
 (656K)",https://www.imdb.com/title/tt0097165/?ref_=chttp_t_178
179,The Bridge on the River Kwai,1957,"8.1
 (249K)",https://www.imdb.com/title/tt0050212/?ref_=chttp_t_179
180,Harry Potter and the Deathly Hallows: Part 2,2011,"8.1
 (1M)",https://www.imdb.com/title/tt1201607/?ref_=chttp_t_180
181,The Wild Robot,2024,"8.2
 (227K)",https://www.imdb.com/title/tt29623480/?ref_=chttp_t_181
182,Barry Lyndon,1975,"8.1
 (206K)",https://www.imdb.com/title/tt0072684/?ref_=chttp_t_182
183,Ben-Hur,1959,"8.1
 (271K)",https://www.imdb.com/title/tt0052618/?ref_=chttp_t_183
184,Warrior,2011,"8.1
 (530K)",https://www.imdb.com/title/tt1291584/?ref_=chttp_t_184
185,Fargo,1996,"8.1
 (788K)",https://www.imdb.com/title/tt0116282/?ref_=chttp_t_185
186,Million Dollar Baby,2004,"8.1
 (768K)",https://www.imdb.com/title/tt0405159/?ref_=chttp_t_186
187,Hacksaw Ridge,2016,"8.1
 (684K)",https://www.imdb.com/title/tt2119532/?ref_=chttp_t_187
188,Mad Max: Fury Road,2015,"8.1
 (1.2M)",https://www.imdb.com/title/tt1392190/?ref_=chttp_t_188
189,Children of Heaven,1997,"8.2
 (90K)",https://www.imdb.com/title/tt0118849/?ref_=chttp_t_189
190,Raging Bull,1980,"8.1
 (411K)",https://www.imdb.com/title/tt0081398/?ref_=chttp_t_190
191,My Neighbor Totoro,1988,"8.1
 (433K)",https://www.imdb.com/title/tt0096283/?ref_=chttp_t_191
192,Ratatouille,2007,"8.1
 (948K)",https://www.imdb.com/title/tt0382932/?ref_=chttp_t_192
193,Gran Torino,2008,"8.1
 (864K)",https://www.imdb.com/title/tt1205489/?ref_=chttp_t_193
194,12 Years a Slave,2013,"8.1
 (788K)",https://www.imdb.com/title/tt2024544/?ref_=chttp_t_194
195,The Grand Budapest Hotel,2014,"8.1
 (974K)",https://www.imdb.com/title/tt2278388/?ref_=chttp_t_195
196,Memories of Murder,2003,"8.1
 (269K)",https://www.imdb.com/title/tt0353969/?ref_=chttp_t_196
197,Before Sunrise,1995,"8.1
 (379K)",https://www.imdb.com/title/tt0112471/?ref_=chttp_t_197
198,How to Train Your Dragon,2010,"8.1
 (897K)",https://www.imdb.com/title/tt0892769/?ref_=chttp_t_198
199,Blade Runner,1982,"8.1
 (883K)",https://www.imdb.com/title/tt0083658/?ref_=chttp_t_199
200,"Monsters, Inc.",2001,"8.1
 (1.1M)",https://www.imdb.com/title/tt0198781/?ref_=chttp_t_200
201,Gone Girl,2014,"8.1
 (1.2M)",https://www.imdb.com/title/tt2267998/?ref_=chttp_t_201
202,Spider-Man: No Way Home,2021,"8.1
 (1M)",https://www.imdb.com/title/tt10872600/?ref_=chttp_t_202
203,Jaws,1975,"8.1
 (740K)",https://www.imdb.com/title/tt0073195/?ref_=chttp_t_203
204,Ford v Ferrari,2019,"8.1
 (575K)",https://www.imdb.com/title/tt1950186/?ref_=chttp_t_204
205,In the Name of the Father,1993,"8.1
 (203K)",https://www.imdb.com/title/tt0107207/?ref_=chttp_t_205
206,Wild Tales,2014,"8.1
 (239K)",https://www.imdb.com/title/tt3011894/?ref_=chttp_t_206
207,The Gold Rush,1925,"8.1
 (128K)",https://www.imdb.com/title/tt0015864/?ref_=chttp_t_207
208,Sherlock Jr.,1924,"8.1
 (66K)",https://www.imdb.com/title/tt0015324/?ref_=chttp_t_208
209,The Chaos Class Failed the Class,1975,"8.4
 (31K)",https://www.imdb.com/title/tt0252488/?ref_=chttp_t_209
210,Mary and Max,2009,"8.1
 (202K)",https://www.imdb.com/title/tt0978762/?ref_=chttp_t_210
211,The Deer Hunter,1978,"8.1
 (386K)",https://www.imdb.com/title/tt0077416/?ref_=chttp_t_211
212,The Wages of Fear,1953,"8.1
 (74K)",https://www.imdb.com/title/tt0046268/?ref_=chttp_t_212
213,The General,1926,"8.1
 (105K)",https://www.imdb.com/title/tt0017925/?ref_=chttp_t_213
214,Logan,2017,"8.1
 (929K)",https://www.imdb.com/title/tt3315342/?ref_=chttp_t_214
215,Rocky,1976,"8.1
 (691K)",https://www.imdb.com/title/tt0075148/?ref_=chttp_t_215
216,A Silent Voice: The Movie,2016,"8.2
 (144K)",https://www.imdb.com/title/tt5323662/?ref_=chttp_t_216
217,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"8.1
 (1.3M)",https://www.imdb.com/title/tt0325980/?ref_=chttp_t_217
218,Chainsaw Man - The Movie: Reze Arc,2025,"8.3
 (59K)",https://www.imdb.com/title/tt30472557/?ref_=chttp_t_218
219,Mr. Smith Goes to Washington,1939,"8.1
 (130K)",https://www.imdb.com/title/tt0031679/?ref_=chttp_t_219
220,Tokyo Story,1953,"8.1
 (78K)",https://www.imdb.com/title/tt0046438/?ref_=chttp_t_220
221,La haine,1995,"8.1
 (228K)",https://www.imdb.com/title/tt0113247/?ref_=chttp_t_221
222,Spotlight,2015,"8.1
 (536K)",https://www.imdb.com/title/tt1895587/?ref_=chttp_t_222
223,On the Waterfront,1954,"8.1
 (179K)",https://www.imdb.com/title/tt0047296/?ref_=chttp_t_223
224,The Sound of Music,1965,"8.1
 (292K)",https://www.imdb.com/title/tt0059742/?ref_=chttp_t_224
225,Wild Strawberries,1957,"8.1
 (125K)",https://www.imdb.com/title/tt0050986/?ref_=chttp_t_225
226,The Terminator,1984,"8.1
 (1M)",https://www.imdb.com/title/tt0088247/?ref_=chttp_t_226
227,Maharaja,2024,"8.3
 (83K)",https://www.imdb.com/title/tt26548265/?ref_=chttp_t_227
228,Jai Bhim,2021,"8.6
 (235K)",https://www.imdb.com/title/tt15097216/?ref_=chttp_t_228
229,The Third Man,1949,"8.1
 (196K)",https://www.imdb.com/title/tt0041959/?ref_=chttp_t_229
230,The Best Years of Our Lives,1946,"8.1
 (76K)",https://www.imdb.com/title/tt0036868/?ref_=chttp_t_230
231,The Big Lebowski,1998,"8.1
 (918K)",https://www.imdb.com/title/tt0118715/?ref_=chttp_t_231
232,Before Sunset,2004,"8.1
 (316K)",https://www.imdb.com/title/tt0381681/?ref_=chttp_t_232
233,The Incredibles,2004,"8.0
 (904K)",https://www.imdb.com/title/tt0317705/?ref_=chttp_t_233
234,Room,2015,"8.1
 (481K)",https://www.imdb.com/title/tt3170832/?ref_=chttp_t_234
235,Hachi: A Dog's Tale,2009,"8.1
 (344K)",https://www.imdb.com/title/tt1028532/?ref_=chttp_t_235
236,The Seventh Seal,1957,"8.1
 (216K)",https://www.imdb.com/title/tt0050976/?ref_=chttp_t_236
237,Hotel Rwanda,2004,"8.1
 (393K)",https://www.imdb.com/title/tt0395169/?ref_=chttp_t_237
238,Platoon,1986,"8.1
 (472K)",https://www.imdb.com/title/tt0091763/?ref_=chttp_t_238
239,The Exorcist,1973,"8.1
 (499K)",https://www.imdb.com/title/tt0070047/?ref_=chttp_t_239
240,The Iron Giant,1999,"8.1
 (262K)",https://www.imdb.com/title/tt0129167/?ref_=chttp_t_240
241,Rush,2013,"8.1
 (561K)",https://www.imdb.com/title/tt1979320/?ref_=chttp_t_241
242,The Wizard of Oz,1939,"8.1
 (468K)",https://www.imdb.com/title/tt0032138/?ref_=chttp_t_242
243,Stand by Me,1986,"8.1
 (488K)",https://www.imdb.com/title/tt0092005/?ref_=chttp_t_243
244,The Battle of Algiers,1966,"8.1
 (76K)",https://www.imdb.com/title/tt0058946/?ref_=chttp_t_244
245,My Father and My Son,2005,"8.2
 (101K)",https://www.imdb.com/title/tt0476735/?ref_=chttp_t_245
246,The Passion of Joan of Arc,1928,"8.1
 (68K)",https://www.imdb.com/title/tt0019254/?ref_=chttp_t_246
247,Obsession,2025,"8.1
 (90K)",https://www.imdb.com/title/tt37287335/?ref_=chttp_t_247
